N,e^delta,LemmaBound_NoMollifier,LemmaBound_Mollifier2,LemmaBound_Mollifier3,LemmaBound_Mollifier5,TriangleBound_NoMollifier,TriangleBound_Mollifier2,TriangleBound_Mollifier3,TriangleBound_Mollifier5
932,1.000000057563,-0.06215,0.38291,0.53020,0.57935,-0.20058,0.30699,0.47530,0.53165
933,1.000000057440,-0.06169,0.38320,0.53049,0.57962,-0.19999,0.30735,0.47565,0.53197
934,1.000000057317,-0.06122,0.38359,0.53083,0.57994,-0.19940,0.30782,0.47606,0.53236
935,1.000000057194,-0.06075,0.38388,0.53106,0.58018,-0.19881,0.30818,0.47633,0.53265
936,1.000000057072,-0.06029,0.38427,0.53143,0.58055,-0.19822,0.30865,0.47678,0.53308
937,1.000000056950,-0.05982,0.38456,0.53166,0.58075,-0.19763,0.30901,0.47706,0.53333
938,1.000000056829,-0.05936,0.38495,0.53200,0.58107,-0.19704,0.30948,0.47746,0.53371
939,1.000000056708,-0.05890,0.38523,0.53228,0.58134,-0.19645,0.30984,0.47781,0.53403
940,1.000000056587,-0.05843,0.38562,0.53262,0.58167,-0.19587,0.31031,0.47821,0.53442
941,1.000000056467,-0.05797,0.38591,0.53284,0.58187,-0.19528,0.31067,0.47849,0.53467
942,1.000000056347,-0.05751,0.38629,0.53321,0.58223,-0.19470,0.31114,0.47893,0.53510
943,1.000000056228,-0.05705,0.38658,0.53344,0.58243,-0.19412,0.31149,0.47921,0.53534
944,1.000000056109,-0.05659,0.38696,0.53377,0.58275,-0.19353,0.31196,0.47961,0.53572
945,1.000000055990,-0.05613,0.38725,0.53406,0.58304,-0.19295,0.31231,0.47995,0.53606
946,1.000000055872,-0.05567,0.38763,0.53439,0.58336,-0.19237,0.31278,0.48035,0.53644
947,1.000000055754,-0.05521,0.38791,0.53461,0.58356,-0.19179,0.31313,0.48062,0.53668
948,1.000000055636,-0.05475,0.38829,0.53498,0.58391,-0.19122,0.31359,0.48106,0.53711
949,1.000000055519,-0.05430,0.38858,0.53520,0.58411,-0.19064,0.31394,0.48133,0.53735
950,1.000000055402,-0.05384,0.38896,0.53553,0.58444,-0.19006,0.31441,0.48173,0.53774
951,1.000000055286,-0.05339,0.38924,0.53582,0.58470,-0.18949,0.31476,0.48207,0.53805
952,1.000000055170,-0.05293,0.38962,0.53615,0.58501,-0.18891,0.31522,0.48247,0.53842
953,1.000000055054,-0.05248,0.38990,0.53637,0.58521,-0.18834,0.31557,0.48274,0.53867
954,1.000000054939,-0.05202,0.39028,0.53673,0.58556,-0.18777,0.31603,0.48317,0.53908
955,1.000000054824,-0.05157,0.39056,0.53695,0.58580,-0.18719,0.31638,0.48344,0.53937
956,1.000000054709,-0.05112,0.39094,0.53728,0.58611,-0.18662,0.31683,0.48383,0.53974
957,1.000000054595,-0.05067,0.39122,0.53756,0.58637,-0.18605,0.31718,0.48417,0.54005
958,1.000000054481,-0.05022,0.39159,0.53788,0.58668,-0.18548,0.31764,0.48456,0.54042
959,1.000000054367,-0.04977,0.39187,0.53810,0.58688,-0.18491,0.31798,0.48483,0.54066
960,1.000000054254,-0.04932,0.39225,0.53846,0.58723,-0.18435,0.31844,0.48526,0.54108
961,1.000000054141,-0.04887,0.39252,0.53868,0.58743,-0.18378,0.31878,0.48552,0.54131
962,1.000000054029,-0.04842,0.39290,0.53901,0.58774,-0.18321,0.31924,0.48591,0.54168
963,1.000000053917,-0.04797,0.39318,0.53928,0.58799,-0.18265,0.31958,0.48625,0.54199
964,1.000000053805,-0.04753,0.39355,0.53961,0.58830,-0.18208,0.32003,0.48663,0.54235
965,1.000000053693,-0.04708,0.39382,0.53982,0.58853,-0.18152,0.32038,0.48690,0.54263
966,1.000000053582,-0.04663,0.39420,0.54018,0.58888,-0.18096,0.32083,0.48732,0.54304
967,1.000000053471,-0.04619,0.39447,0.54040,0.58907,-0.18040,0.32117,0.48759,0.54328
968,1.000000053361,-0.04574,0.39484,0.54072,0.58938,-0.17984,0.32162,0.48797,0.54364
969,1.000000053251,-0.04530,0.39512,0.54099,0.58963,-0.17928,0.32196,0.48830,0.54395
970,1.000000053141,-0.04486,0.39549,0.54131,0.58995,-0.17872,0.32241,0.48869,0.54432
971,1.000000053032,-0.04442,0.39576,0.54153,0.59014,-0.17816,0.32275,0.48895,0.54456
972,1.000000052923,-0.04397,0.39613,0.54188,0.59048,-0.17760,0.32319,0.48937,0.54496
973,1.000000052814,-0.04353,0.39640,0.54210,0.59068,-0.17705,0.32353,0.48963,0.54519
974,1.000000052706,-0.04309,0.39677,0.54242,0.59098,-0.17649,0.32397,0.49001,0.54555
975,1.000000052598,-0.04265,0.39704,0.54269,0.59125,-0.17594,0.32431,0.49034,0.54588
976,1.000000052490,-0.04221,0.39741,0.54301,0.59156,-0.17538,0.32476,0.49072,0.54624
977,1.000000052382,-0.04177,0.39768,0.54322,0.59175,-0.17483,0.32509,0.49098,0.54647
978,1.000000052275,-0.04134,0.39804,0.54357,0.59209,-0.17428,0.32553,0.49140,0.54687
979,1.000000052169,-0.04090,0.39831,0.54378,0.59228,-0.17373,0.32587,0.49166,0.54711
980,1.000000052062,-0.04046,0.39868,0.54410,0.59259,-0.17317,0.32631,0.49204,0.54747
981,1.000000051956,-0.04003,0.39895,0.54437,0.59284,-0.17262,0.32665,0.49236,0.54777
982,1.000000051850,-0.03959,0.39931,0.54468,0.59314,-0.17208,0.32708,0.49274,0.54813
983,1.000000051745,-0.03916,0.39958,0.54489,0.59333,-0.17153,0.32742,0.49300,0.54836
984,1.000000051640,-0.03872,0.39994,0.54524,0.59366,-0.17098,0.32786,0.49341,0.54875
985,1.000000051535,-0.03829,0.40021,0.54545,0.59389,-0.17043,0.32819,0.49366,0.54902
986,1.000000051431,-0.03785,0.40057,0.54576,0.59418,-0.16989,0.32862,0.49404,0.54937
987,1.000000051326,-0.03742,0.40084,0.54603,0.59443,-0.16934,0.32896,0.49436,0.54967
988,1.000000051223,-0.03699,0.40120,0.54634,0.59473,-0.16880,0.32939,0.49473,0.55002
989,1.000000051119,-0.03656,0.40146,0.54655,0.59492,-0.16826,0.32972,0.49499,0.55025
990,1.000000051016,-0.03613,0.40182,0.54689,0.59525,-0.16771,0.33016,0.49539,0.55065
991,1.000000050913,-0.03570,0.40209,0.54710,0.59544,-0.16717,0.33049,0.49565,0.55088
992,1.000000050810,-0.03527,0.40244,0.54741,0.59574,-0.16663,0.33092,0.49602,0.55123
993,1.000000050708,-0.03484,0.40271,0.54768,0.59598,-0.16609,0.33125,0.49634,0.55152
994,1.000000050606,-0.03441,0.40307,0.54799,0.59627,-0.16555,0.33168,0.49671,0.55187
995,1.000000050504,-0.03398,0.40333,0.54820,0.59650,-0.16502,0.33201,0.49696,0.55213
996,1.000000050403,-0.03356,0.40369,0.54853,0.59682,-0.16448,0.33243,0.49736,0.55252
997,1.000000050302,-0.03313,0.40395,0.54874,0.59701,-0.16394,0.33276,0.49762,0.55275
998,1.000000050201,-0.03270,0.40430,0.54905,0.59730,-0.16341,0.33319,0.49798,0.55309
999,1.000000050101,-0.03228,0.40457,0.54931,0.59755,-0.16287,0.33352,0.49830,0.55338
1000,1.000000050001,-0.03185,0.40492,0.54962,0.59785,-0.16234,0.33394,0.49866,0.55374
1001,1.000000049901,-0.03143,0.40518,0.54982,0.59803,-0.16180,0.33427,0.49892,0.55396
1002,1.000000049801,-0.03101,0.40554,0.55016,0.59836,-0.16127,0.33469,0.49931,0.55435
1003,1.000000049702,-0.03058,0.40580,0.55037,0.59854,-0.16074,0.33502,0.49957,0.55457
1004,1.000000049603,-0.03016,0.40615,0.55067,0.59883,-0.16021,0.33544,0.49993,0.55491
1005,1.000000049504,-0.02974,0.40641,0.55093,0.59909,-0.15968,0.33576,0.50024,0.55523
1006,1.000000049406,-0.02932,0.40676,0.55123,0.59938,-0.15915,0.33618,0.50060,0.55557
1007,1.000000049308,-0.02890,0.40702,0.55144,0.59957,-0.15862,0.33651,0.50085,0.55579
1008,1.000000049210,-0.02848,0.40737,0.55177,0.59989,-0.15809,0.33693,0.50125,0.55617
1009,1.000000049113,-0.02806,0.40763,0.55198,0.60007,-0.15756,0.33725,0.50150,0.55639
1010,1.000000049015,-0.02764,0.40798,0.55228,0.60037,-0.15704,0.33767,0.50186,0.55674
1011,1.000000048918,-0.02722,0.40824,0.55254,0.60061,-0.15651,0.33799,0.50217,0.55703
1012,1.000000048822,-0.02680,0.40858,0.55284,0.60089,-0.15599,0.33841,0.50252,0.55736
1013,1.000000048725,-0.02639,0.40884,0.55304,0.60108,-0.15546,0.33873,0.50277,0.55759
1014,1.000000048629,-0.02597,0.40919,0.55337,0.60139,-0.15494,0.33914,0.50316,0.55796
1015,1.000000048534,-0.02555,0.40944,0.55357,0.60161,-0.15442,0.33946,0.50341,0.55822
1016,1.000000048438,-0.02514,0.40979,0.55387,0.60189,-0.15389,0.33988,0.50377,0.55855
1017,1.000000048343,-0.02472,0.41005,0.55413,0.60213,-0.15337,0.34020,0.50407,0.55884
1018,1.000000048248,-0.02431,0.41039,0.55442,0.60241,-0.15285,0.34061,0.50443,0.55917
1019,1.000000048153,-0.02390,0.41065,0.55463,0.60259,-0.15233,0.34093,0.50467,0.55939
1020,1.000000048059,-0.02348,0.41099,0.55495,0.60291,-0.15182,0.34134,0.50506,0.55977
1021,1.000000047965,-0.02307,0.41124,0.55515,0.60310,-0.15130,0.34166,0.50531,0.55999
1022,1.000000047871,-0.02266,0.41158,0.55545,0.60338,-0.15078,0.34207,0.50566,0.56032
1023,1.000000047778,-0.02225,0.41184,0.55570,0.60361,-0.15026,0.34238,0.50596,0.56060
1024,1.000000047684,-0.02184,0.41218,0.55600,0.60389,-0.14975,0.34279,0.50631,0.56093
1025,1.000000047591,-0.02143,0.41244,0.55620,0.60410,-0.14923,0.34311,0.50656,0.56118
1026,1.000000047499,-0.02102,0.41277,0.55652,0.60441,-0.14872,0.34352,0.50694,0.56155
1027,1.000000047406,-0.02061,0.41303,0.55672,0.60459,-0.14821,0.34383,0.50718,0.56177
1028,1.000000047314,-0.02020,0.41337,0.55701,0.60487,-0.14769,0.34424,0.50753,0.56210
1029,1.000000047222,-0.01979,0.41362,0.55726,0.60511,-0.14718,0.34455,0.50783,0.56238
1030,1.000000047130,-0.01938,0.41396,0.55756,0.60539,-0.14667,0.34496,0.50818,0.56271
1031,1.000000047039,-0.01898,0.41421,0.55776,0.60557,-0.14616,0.34527,0.50842,0.56293
1032,1.000000046948,-0.01857,0.41454,0.55808,0.60588,-0.14565,0.34568,0.50880,0.56329
1033,1.000000046857,-0.01816,0.41480,0.55827,0.60606,-0.14514,0.34599,0.50904,0.56351
1034,1.000000046766,-0.01776,0.41513,0.55856,0.60633,-0.14463,0.34639,0.50939,0.56384
1035,1.000000046676,-0.01735,0.41538,0.55881,0.60658,-0.14412,0.34670,0.50969,0.56413
1036,1.000000046586,-0.01695,0.41572,0.55910,0.60686,-0.14362,0.34710,0.51003,0.56446
1037,1.000000046496,-0.01655,0.41597,0.55930,0.60704,-0.14311,0.34741,0.51027,0.56467
1038,1.000000046407,-0.01614,0.41630,0.55962,0.60734,-0.14261,0.34781,0.51065,0.56503
1039,1.000000046317,-0.01574,0.41655,0.55981,0.60752,-0.14210,0.34812,0.51089,0.56525
1040,1.000000046228,-0.01534,0.41688,0.56010,0.60780,-0.14160,0.34852,0.51123,0.56558
1041,1.000000046140,-0.01494,0.41713,0.56035,0.60803,-0.14109,0.34883,0.51152,0.56585
1042,1.000000046051,-0.01454,0.41746,0.56064,0.60830,-0.14059,0.34923,0.51186,0.56617
1043,1.000000045963,-0.01414,0.41771,0.56083,0.60848,-0.14009,0.34954,0.51210,0.56639
1044,1.000000045875,-0.01374,0.41804,0.56115,0.60878,-0.13959,0.34993,0.51247,0.56674
1045,1.000000045787,-0.01334,0.41829,0.56134,0.60899,-0.13909,0.35024,0.51271,0.56699
1046,1.000000045699,-0.01294,0.41862,0.56163,0.60926,-0.13859,0.35064,0.51305,0.56731
1047,1.000000045612,-0.01254,0.41887,0.56187,0.60949,-0.13809,0.35094,0.51334,0.56758
1048,1.000000045525,-0.01214,0.41920,0.56216,0.60976,-0.13759,0.35134,0.51368,0.56790
1049,1.000000045438,-0.01174,0.41944,0.56235,0.60993,-0.13709,0.35164,0.51392,0.56811
1050,1.000000045352,-0.01135,0.41977,0.56266,0.61024,-0.13660,0.35203,0.51429,0.56847
1051,1.000000045266,-0.01095,0.42002,0.56286,0.61041,-0.13610,0.35234,0.51452,0.56868
1052,1.000000045180,-0.01056,0.42034,0.56314,0.61068,-0.13561,0.35273,0.51486,0.56899
1053,1.000000045094,-0.01016,0.42059,0.56338,0.61090,-0.13511,0.35303,0.51515,0.56926
1054,1.000000045008,-0.00977,0.42091,0.56366,0.61117,-0.13462,0.35342,0.51548,0.56958
1055,1.000000044923,-0.00937,0.42116,0.56386,0.61137,-0.13412,0.35373,0.51572,0.56982
1056,1.000000044838,-0.00898,0.42148,0.56416,0.61167,-0.13363,0.35412,0.51608,0.57017
1057,1.000000044753,-0.00859,0.42173,0.56436,0.61185,-0.13314,0.35442,0.51631,0.57038
1058,1.000000044669,-0.00819,0.42205,0.56464,0.61211,-0.13265,0.35481,0.51665,0.57069
1059,1.000000044584,-0.00780,0.42230,0.56488,0.61233,-0.13216,0.35511,0.51693,0.57096
1060,1.000000044500,-0.00741,0.42262,0.56516,0.61261,-0.13167,0.35549,0.51727,0.57128
1061,1.000000044416,-0.00702,0.42286,0.56535,0.61278,-0.13118,0.35579,0.51750,0.57149
1062,1.000000044333,-0.00663,0.42318,0.56565,0.61308,-0.13069,0.35618,0.51786,0.57183
1063,1.000000044249,-0.00624,0.42343,0.56585,0.61325,-0.13020,0.35648,0.51809,0.57204
1064,1.000000044166,-0.00585,0.42375,0.56612,0.61351,-0.12972,0.35686,0.51842,0.57235
1065,1.000000044083,-0.00546,0.42399,0.56636,0.61375,-0.12923,0.35716,0.51871,0.57263
1066,1.000000044001,-0.00507,0.42431,0.56664,0.61401,-0.12874,0.35755,0.51903,0.57294
1067,1.000000043918,-0.00469,0.42455,0.56683,0.61418,-0.12826,0.35784,0.51927,0.57315
1068,1.000000043836,-0.00430,0.42487,0.56713,0.61448,-0.12778,0.35823,0.51962,0.57349
1069,1.000000043754,-0.00391,0.42511,0.56732,0.61465,-0.12729,0.35852,0.51985,0.57370
1070,1.000000043672,-0.00353,0.42543,0.56760,0.61492,-0.12681,0.35890,0.52018,0.57402
1071,1.000000043591,-0.00314,0.42567,0.56783,0.61514,-0.12633,0.35920,0.52046,0.57428
1072,1.000000043510,-0.00275,0.42598,0.56811,0.61539,-0.12584,0.35958,0.52079,0.57458
1073,1.000000043429,-0.00237,0.42622,0.56830,0.61557,-0.12536,0.35988,0.52102,0.57479
1074,1.000000043348,-0.00199,0.42654,0.56860,0.61586,-0.12488,0.36026,0.52137,0.57513
1075,1.000000043267,-0.00160,0.42678,0.56878,0.61605,-0.12440,0.36055,0.52160,0.57536
1076,1.000000043187,-0.00122,0.42709,0.56906,0.61631,-0.12393,0.36093,0.52192,0.57567
1077,1.000000043107,-0.00084,0.42733,0.56929,0.61653,-0.12345,0.36122,0.52220,0.57592
1078,1.000000043027,-0.00045,0.42765,0.56956,0.61679,-0.12297,0.36160,0.52252,0.57623
1079,1.000000042947,-0.00007,0.42788,0.56975,0.61695,-0.12249,0.36189,0.52275,0.57643
1080,1.000000042867,0.00031,0.42820,0.57005,0.61725,-0.12202,0.36227,0.52310,0.57677
1081,1.000000042788,0.00069,0.42843,0.57024,0.61742,-0.12154,0.36256,0.52333,0.57698
1082,1.000000042709,0.00107,0.42875,0.57051,0.61767,-0.12107,0.36293,0.52365,0.57728
1083,1.000000042630,0.00145,0.42898,0.57074,0.61789,-0.12059,0.36322,0.52393,0.57753
1084,1.000000042552,0.00183,0.42929,0.57101,0.61814,-0.12012,0.36360,0.52425,0.57783
1085,1.000000042473,0.00221,0.42953,0.57119,0.61834,-0.11964,0.36389,0.52447,0.57807
1086,1.000000042395,0.00259,0.42984,0.57149,0.61862,-0.11917,0.36426,0.52482,0.57840
1087,1.000000042317,0.00296,0.43008,0.57167,0.61879,-0.11870,0.36455,0.52504,0.57860
1088,1.000000042239,0.00334,0.43039,0.57194,0.61904,-0.11823,0.36492,0.52536,0.57890
1089,1.000000042162,0.00372,0.43062,0.57217,0.61926,-0.11776,0.36521,0.52564,0.57915
1090,1.000000042084,0.00409,0.43093,0.57244,0.61952,-0.11729,0.36558,0.52595,0.57946
1091,1.000000042007,0.00447,0.43116,0.57262,0.61968,-0.11682,0.36587,0.52618,0.57966
1092,1.000000041930,0.00485,0.43147,0.57292,0.61996,-0.11635,0.36624,0.52652,0.57999
1093,1.000000041854,0.00522,0.43171,0.57310,0.62013,-0.11588,0.36652,0.52675,0.58019
1094,1.000000041777,0.00560,0.43201,0.57337,0.62038,-0.11542,0.36689,0.52706,0.58048
1095,1.000000041701,0.00597,0.43225,0.57359,0.62061,-0.11495,0.36718,0.52733,0.58076
1096,1.000000041625,0.00634,0.43255,0.57386,0.62086,-0.11448,0.36755,0.52765,0.58105
1097,1.000000041549,0.00672,0.43278,0.57404,0.62103,-0.11402,0.36783,0.52787,0.58125
1098,1.000000041473,0.00709,0.43309,0.57433,0.62131,-0.11355,0.36820,0.52821,0.58158
1099,1.000000041398,0.00746,0.43332,0.57452,0.62147,-0.11309,0.36848,0.52843,0.58178
1100,1.000000041323,0.00783,0.43363,0.57478,0.62173,-0.11263,0.36885,0.52874,0.58208
1101,1.000000041248,0.00820,0.43386,0.57501,0.62194,-0.11216,0.36913,0.52901,0.58233
1102,1.000000041173,0.00857,0.43416,0.57527,0.62219,-0.11170,0.36950,0.52932,0.58262
1103,1.000000041098,0.00894,0.43439,0.57545,0.62235,-0.11124,0.36978,0.52954,0.58282
1104,1.000000041024,0.00931,0.43469,0.57574,0.62263,-0.11078,0.37014,0.52988,0.58314
1105,1.000000040950,0.00968,0.43493,0.57592,0.62282,-0.11032,0.37042,0.53010,0.58337
1106,1.000000040876,0.01005,0.43523,0.57618,0.62307,-0.10986,0.37079,0.53041,0.58366
1107,1.000000040802,0.01042,0.43546,0.57641,0.62327,-0.10940,0.37107,0.53068,0.58390
1108,1.000000040728,0.01079,0.43576,0.57667,0.62352,-0.10894,0.37143,0.53099,0.58419
1109,1.000000040655,0.01115,0.43599,0.57685,0.62368,-0.10849,0.37171,0.53121,0.58439
1110,1.000000040582,0.01152,0.43629,0.57713,0.62396,-0.10803,0.37207,0.53154,0.58471
1111,1.000000040508,0.01189,0.43652,0.57731,0.62413,-0.10757,0.37235,0.53176,0.58491
1112,1.000000040436,0.01225,0.43682,0.57757,0.62437,-0.10712,0.37271,0.53206,0.58520
1113,1.000000040363,0.01262,0.43704,0.57779,0.62458,-0.10666,0.37299,0.53233,0.58544
1114,1.000000040291,0.01298,0.43734,0.57805,0.62482,-0.10621,0.37335,0.53263,0.58573
1115,1.000000040218,0.01335,0.43757,0.57823,0.62501,-0.10575,0.37362,0.53285,0.58595
1116,1.000000040146,0.01371,0.43787,0.57851,0.62528,-0.10530,0.37398,0.53318,0.58627
1117,1.000000040074,0.01407,0.43809,0.57869,0.62544,-0.10485,0.37426,0.53340,0.58646
1118,1.000000040003,0.01444,0.43839,0.57895,0.62568,-0.10439,0.37461,0.53370,0.58675
1119,1.000000039931,0.01480,0.43862,0.57917,0.62589,-0.10394,0.37489,0.53397,0.58699
1120,1.000000039860,0.01516,0.43891,0.57943,0.62614,-0.10349,0.37525,0.53427,0.58728
1121,1.000000039789,0.01552,0.43914,0.57960,0.62630,-0.10304,0.37552,0.53448,0.58748
1122,1.000000039718,0.01589,0.43943,0.57988,0.62657,-0.10259,0.37588,0.53481,0.58779
1123,1.000000039647,0.01625,0.43966,0.58006,0.62673,-0.10214,0.37615,0.53503,0.58798
1124,1.000000039577,0.01661,0.43995,0.58032,0.62697,-0.10169,0.37651,0.53533,0.58827
1125,1.000000039507,0.01697,0.44018,0.58053,0.62719,-0.10124,0.37678,0.53559,0.58853
1126,1.000000039436,0.01733,0.44047,0.58079,0.62743,-0.10080,0.37713,0.53589,0.58881
1127,1.000000039366,0.01768,0.44070,0.58097,0.62759,-0.10035,0.37741,0.53610,0.58900
1128,1.000000039297,0.01804,0.44099,0.58124,0.62786,-0.09990,0.37776,0.53643,0.58931
1129,1.000000039227,0.01840,0.44121,0.58142,0.62802,-0.09946,0.37803,0.53664,0.58950
1130,1.000000039158,0.01876,0.44151,0.58167,0.62826,-0.09901,0.37838,0.53694,0.58979
1131,1.000000039088,0.01912,0.44173,0.58189,0.62846,-0.09857,0.37865,0.53720,0.59003
1132,1.000000039019,0.01947,0.44202,0.58214,0.62870,-0.09813,0.37900,0.53750,0.59031
1133,1.000000038951,0.01983,0.44224,0.58232,0.62886,-0.09768,0.37927,0.53771,0.59050
1134,1.000000038882,0.02018,0.44253,0.58259,0.62912,-0.09724,0.37962,0.53803,0.59081
1135,1.000000038813,0.02054,0.44276,0.58277,0.62931,-0.09680,0.37989,0.53824,0.59102
1136,1.000000038745,0.02090,0.44304,0.58302,0.62954,-0.09636,0.38024,0.53854,0.59130
1137,1.000000038677,0.02125,0.44327,0.58323,0.62974,-0.09592,0.38051,0.53880,0.59154
1138,1.000000038609,0.02160,0.44355,0.58348,0.62998,-0.09547,0.38086,0.53909,0.59181
1139,1.000000038541,0.02196,0.44378,0.58366,0.63014,-0.09504,0.38113,0.53930,0.59200
1140,1.000000038474,0.02231,0.44406,0.58393,0.63040,-0.09460,0.38147,0.53962,0.59231
1141,1.000000038406,0.02266,0.44428,0.58410,0.63056,-0.09416,0.38174,0.53983,0.59250
1142,1.000000038339,0.02302,0.44457,0.58435,0.63079,-0.09372,0.38208,0.54012,0.59278
1143,1.000000038272,0.02337,0.44479,0.58457,0.63099,-0.09328,0.38235,0.54038,0.59301
1144,1.000000038205,0.02372,0.44508,0.58481,0.63123,-0.09284,0.38270,0.54067,0.59329
1145,1.000000038138,0.02407,0.44530,0.58499,0.63141,-0.09241,0.38296,0.54088,0.59350
1146,1.000000038072,0.02442,0.44558,0.58526,0.63167,-0.09197,0.38331,0.54120,0.59380
1147,1.000000038006,0.02477,0.44580,0.58543,0.63182,-0.09154,0.38357,0.54140,0.59399
1148,1.000000037939,0.02512,0.44609,0.58568,0.63206,-0.09110,0.38391,0.54169,0.59426
1149,1.000000037873,0.02547,0.44631,0.58589,0.63225,-0.09067,0.38418,0.54195,0.59450
1150,1.000000037808,0.02582,0.44659,0.58613,0.63249,-0.09024,0.38452,0.54224,0.59478
1151,1.000000037742,0.02617,0.44681,0.58631,0.63265,-0.08980,0.38479,0.54244,0.59496
1152,1.000000037676,0.02651,0.44709,0.58657,0.63290,-0.08937,0.38513,0.54276,0.59526
1153,1.000000037611,0.02686,0.44731,0.58674,0.63306,-0.08894,0.38539,0.54297,0.59545
1154,1.000000037546,0.02721,0.44759,0.58699,0.63329,-0.08851,0.38573,0.54325,0.59572
1155,1.000000037481,0.02756,0.44781,0.58720,0.63350,-0.08808,0.38599,0.54350,0.59597
1156,1.000000037416,0.02790,0.44809,0.58744,0.63373,-0.08765,0.38633,0.54379,0.59624
1157,1.000000037351,0.02825,0.44831,0.58761,0.63389,-0.08722,0.38659,0.54400,0.59642
1158,1.000000037287,0.02859,0.44859,0.58788,0.63414,-0.08679,0.38693,0.54431,0.59672
1159,1.000000037223,0.02894,0.44880,0.58805,0.63430,-0.08636,0.38719,0.54451,0.59690
1160,1.000000037158,0.02928,0.44908,0.58829,0.63453,-0.08593,0.38753,0.54480,0.59718
1161,1.000000037094,0.02963,0.44930,0.58850,0.63472,-0.08551,0.38779,0.54505,0.59741
1162,1.000000037031,0.02997,0.44958,0.58874,0.63495,-0.08508,0.38813,0.54533,0.59767
1163,1.000000036967,0.03031,0.44979,0.58891,0.63511,-0.08465,0.38839,0.54554,0.59786
1164,1.000000036904,0.03066,0.45007,0.58917,0.63536,-0.08423,0.38872,0.54584,0.59815
1165,1.000000036840,0.03100,0.45029,0.58934,0.63554,-0.08380,0.38898,0.54605,0.59836
1166,1.000000036777,0.03134,0.45056,0.58958,0.63576,-0.08338,0.38931,0.54633,0.59863
1167,1.000000036714,0.03168,0.45078,0.58979,0.63595,-0.08295,0.38958,0.54658,0.59885
1168,1.000000036651,0.03202,0.45106,0.59003,0.63618,-0.08253,0.38991,0.54686,0.59912
1169,1.000000036589,0.03236,0.45127,0.59020,0.63633,-0.08211,0.39017,0.54706,0.59930
1170,1.000000036526,0.03271,0.45155,0.59046,0.63659,-0.08168,0.39050,0.54737,0.59960
1171,1.000000036464,0.03305,0.45176,0.59063,0.63674,-0.08126,0.39076,0.54757,0.59978
1172,1.000000036401,0.03338,0.45203,0.59087,0.63696,-0.08084,0.39109,0.54785,0.60004
1173,1.000000036339,0.03372,0.45225,0.59107,0.63715,-0.08042,0.39134,0.54810,0.60027
1174,1.000000036278,0.03406,0.45252,0.59131,0.63738,-0.08000,0.39167,0.54838,0.60053
1175,1.000000036216,0.03440,0.45273,0.59148,0.63755,-0.07958,0.39193,0.54858,0.60073
1176,1.000000036154,0.03474,0.45301,0.59174,0.63780,-0.07916,0.39226,0.54888,0.60102
1177,1.000000036093,0.03508,0.45322,0.59190,0.63795,-0.07874,0.39252,0.54908,0.60120
1178,1.000000036032,0.03541,0.45349,0.59214,0.63817,-0.07833,0.39284,0.54936,0.60146
1179,1.000000035970,0.03575,0.45370,0.59234,0.63836,-0.07791,0.39310,0.54960,0.60169
1180,1.000000035910,0.03609,0.45398,0.59258,0.63859,-0.07749,0.39343,0.54988,0.60196
1181,1.000000035849,0.03642,0.45419,0.59275,0.63874,-0.07707,0.39368,0.55008,0.60214
1182,1.000000035788,0.03676,0.45446,0.59300,0.63899,-0.07666,0.39401,0.55038,0.60242
1183,1.000000035728,0.03709,0.45467,0.59317,0.63914,-0.07624,0.39426,0.55058,0.60260
1184,1.000000035667,0.03743,0.45494,0.59340,0.63936,-0.07583,0.39459,0.55085,0.60286
1185,1.000000035607,0.03776,0.45515,0.59361,0.63956,-0.07541,0.39484,0.55110,0.60310
1186,1.000000035547,0.03810,0.45542,0.59384,0.63978,-0.07500,0.39517,0.55137,0.60336
1187,1.000000035487,0.03843,0.45563,0.59401,0.63993,-0.07459,0.39542,0.55157,0.60353
1188,1.000000035428,0.03876,0.45590,0.59426,0.64018,-0.07418,0.39574,0.55187,0.60382
1189,1.000000035368,0.03909,0.45611,0.59442,0.64033,-0.07376,0.39600,0.55206,0.60400
1190,1.000000035309,0.03943,0.45638,0.59466,0.64055,-0.07335,0.39632,0.55234,0.60426
1191,1.000000035249,0.03976,0.45659,0.59486,0.64074,-0.07294,0.39657,0.55258,0.60448
1192,1.000000035190,0.04009,0.45685,0.59509,0.64096,-0.07253,0.39689,0.55285,0.60474
1193,1.000000035131,0.04042,0.45706,0.59525,0.64111,-0.07212,0.39714,0.55305,0.60491
1194,1.000000035072,0.04075,0.45733,0.59551,0.64135,-0.07171,0.39746,0.55334,0.60520
1195,1.000000035014,0.04108,0.45754,0.59567,0.64152,-0.07130,0.39771,0.55354,0.60540
1196,1.000000034955,0.04141,0.45780,0.59590,0.64174,-0.07089,0.39803,0.55381,0.60565
1197,1.000000034897,0.04174,0.45801,0.59610,0.64192,-0.07048,0.39828,0.55405,0.60587
1198,1.000000034839,0.04207,0.45828,0.59633,0.64214,-0.07008,0.39860,0.55432,0.60612
1199,1.000000034780,0.04240,0.45848,0.59649,0.64228,-0.06967,0.39885,0.55451,0.60630
1200,1.000000034723,0.04273,0.45875,0.59674,0.64253,-0.06926,0.39917,0.55480,0.60658
1201,1.000000034665,0.04306,0.45896,0.59691,0.64268,-0.06886,0.39942,0.55500,0.60676
