N,e^delta,LemmaBound_NoMollifier,LemmaBound_Mollifier2,LemmaBound_Mollifier3,LemmaBound_Mollifier5,TriangleBound_NoMollifier,TriangleBound_Mollifier2,TriangleBound_Mollifier3,TriangleBound_Mollifier5
725,1.000000095127,-0.17685,0.29886,0.45555,0.50796,-0.34771,0.20247,0.38413,0.44515
726,1.000000094865,-0.17619,0.29943,0.45611,0.50851,-0.34685,0.20318,0.38482,0.44582
727,1.000000094604,-0.17554,0.29983,0.45641,0.50878,-0.34600,0.20369,0.38521,0.44616
728,1.000000094344,-0.17488,0.30040,0.45691,0.50926,-0.34515,0.20439,0.38582,0.44674
729,1.000000094086,-0.17423,0.30079,0.45733,0.50964,-0.34430,0.20490,0.38633,0.44722
730,1.000000093828,-0.17358,0.30136,0.45782,0.51014,-0.34345,0.20560,0.38694,0.44782
731,1.000000093572,-0.17293,0.30175,0.45813,0.51041,-0.34261,0.20611,0.38732,0.44816
732,1.000000093316,-0.17228,0.30231,0.45868,0.51096,-0.34177,0.20681,0.38800,0.44882
733,1.000000093062,-0.17163,0.30271,0.45899,0.51123,-0.34092,0.20731,0.38838,0.44916
734,1.000000092808,-0.17098,0.30327,0.45948,0.51170,-0.34008,0.20801,0.38899,0.44973
735,1.000000092556,-0.17033,0.30366,0.45989,0.51212,-0.33924,0.20851,0.38949,0.45025
736,1.000000092305,-0.16969,0.30422,0.46038,0.51259,-0.33841,0.20920,0.39009,0.45082
737,1.000000092054,-0.16904,0.30461,0.46068,0.51286,-0.33757,0.20970,0.39047,0.45116
738,1.000000091805,-0.16840,0.30517,0.46123,0.51340,-0.33674,0.21039,0.39114,0.45181
739,1.000000091557,-0.16776,0.30555,0.46153,0.51366,-0.33591,0.21089,0.39152,0.45214
740,1.000000091309,-0.16712,0.30611,0.46202,0.51415,-0.33507,0.21158,0.39211,0.45273
741,1.000000091063,-0.16648,0.30650,0.46242,0.51453,-0.33425,0.21207,0.39261,0.45319
742,1.000000090818,-0.16584,0.30705,0.46291,0.51499,-0.33342,0.21276,0.39321,0.45376
743,1.000000090573,-0.16521,0.30743,0.46320,0.51526,-0.33259,0.21325,0.39359,0.45409
744,1.000000090330,-0.16457,0.30799,0.46374,0.51579,-0.33177,0.21393,0.39424,0.45473
745,1.000000090088,-0.16393,0.30837,0.46404,0.51612,-0.33095,0.21443,0.39462,0.45514
746,1.000000089846,-0.16330,0.30892,0.46452,0.51658,-0.33012,0.21511,0.39520,0.45570
747,1.000000089606,-0.16267,0.30930,0.46492,0.51695,-0.32930,0.21559,0.39570,0.45615
748,1.000000089367,-0.16204,0.30985,0.46540,0.51741,-0.32849,0.21627,0.39628,0.45671
749,1.000000089128,-0.16141,0.31023,0.46570,0.51767,-0.32767,0.21676,0.39666,0.45704
750,1.000000088891,-0.16078,0.31077,0.46623,0.51820,-0.32686,0.21743,0.39730,0.45768
751,1.000000088654,-0.16015,0.31115,0.46653,0.51847,-0.32604,0.21792,0.39768,0.45801
752,1.000000088418,-0.15952,0.31170,0.46700,0.51892,-0.32523,0.21859,0.39826,0.45856
753,1.000000088184,-0.15890,0.31208,0.46740,0.51929,-0.32442,0.21907,0.39875,0.45901
754,1.000000087950,-0.15827,0.31262,0.46787,0.51974,-0.32361,0.21974,0.39932,0.45956
755,1.000000087717,-0.15765,0.31299,0.46816,0.52007,-0.32281,0.22023,0.39969,0.45996
756,1.000000087485,-0.15703,0.31353,0.46869,0.52058,-0.32200,0.22089,0.40033,0.46058
757,1.000000087254,-0.15640,0.31391,0.46898,0.52084,-0.32120,0.22137,0.40070,0.46091
758,1.000000087024,-0.15578,0.31444,0.46945,0.52129,-0.32039,0.22204,0.40127,0.46145
759,1.000000086795,-0.15517,0.31482,0.46984,0.52166,-0.31959,0.22251,0.40176,0.46190
760,1.000000086567,-0.15455,0.31535,0.47031,0.52212,-0.31879,0.22317,0.40233,0.46246
761,1.000000086339,-0.15393,0.31573,0.47060,0.52238,-0.31800,0.22365,0.40269,0.46279
762,1.000000086113,-0.15331,0.31626,0.47112,0.52289,-0.31720,0.22431,0.40332,0.46340
763,1.000000085887,-0.15270,0.31663,0.47141,0.52315,-0.31641,0.22478,0.40369,0.46373
764,1.000000085663,-0.15209,0.31716,0.47188,0.52359,-0.31561,0.22544,0.40425,0.46426
765,1.000000085439,-0.15147,0.31753,0.47226,0.52399,-0.31482,0.22591,0.40473,0.46475
766,1.000000085216,-0.15086,0.31806,0.47273,0.52443,-0.31403,0.22657,0.40529,0.46528
767,1.000000084994,-0.15025,0.31843,0.47301,0.52469,-0.31324,0.22704,0.40565,0.46560
768,1.000000084773,-0.14964,0.31896,0.47353,0.52519,-0.31245,0.22769,0.40628,0.46621
769,1.000000084552,-0.14903,0.31933,0.47381,0.52545,-0.31167,0.22816,0.40664,0.46653
770,1.000000084333,-0.14843,0.31985,0.47427,0.52590,-0.31088,0.22880,0.40720,0.46708
771,1.000000084114,-0.14782,0.32022,0.47465,0.52626,-0.31010,0.22927,0.40767,0.46752
772,1.000000083896,-0.14721,0.32074,0.47511,0.52670,-0.30932,0.22992,0.40822,0.46804
773,1.000000083679,-0.14661,0.32111,0.47540,0.52695,-0.30854,0.23038,0.40858,0.46836
774,1.000000083463,-0.14601,0.32163,0.47590,0.52745,-0.30776,0.23103,0.40920,0.46896
775,1.000000083248,-0.14540,0.32199,0.47619,0.52776,-0.30698,0.23149,0.40955,0.46934
776,1.000000083034,-0.14480,0.32251,0.47664,0.52819,-0.30621,0.23213,0.41011,0.46987
777,1.000000082820,-0.14420,0.32287,0.47702,0.52855,-0.30544,0.23259,0.41057,0.47030
778,1.000000082607,-0.14360,0.32339,0.47747,0.52898,-0.30466,0.23323,0.41112,0.47082
779,1.000000082395,-0.14301,0.32375,0.47775,0.52923,-0.30389,0.23369,0.41147,0.47113
780,1.000000082184,-0.14241,0.32427,0.47825,0.52973,-0.30312,0.23433,0.41208,0.47173
781,1.000000081974,-0.14181,0.32463,0.47854,0.52998,-0.30235,0.23479,0.41243,0.47205
782,1.000000081764,-0.14122,0.32514,0.47898,0.53041,-0.30159,0.23542,0.41298,0.47256
783,1.000000081556,-0.14062,0.32550,0.47936,0.53076,-0.30082,0.23588,0.41344,0.47299
784,1.000000081348,-0.14003,0.32601,0.47980,0.53118,-0.30006,0.23650,0.41398,0.47350
785,1.000000081141,-0.13944,0.32637,0.48008,0.53149,-0.29929,0.23696,0.41433,0.47388
786,1.000000080934,-0.13885,0.32688,0.48058,0.53197,-0.29853,0.23759,0.41493,0.47446
787,1.000000080729,-0.13826,0.32724,0.48086,0.53222,-0.29777,0.23804,0.41528,0.47477
788,1.000000080524,-0.13767,0.32774,0.48130,0.53265,-0.29701,0.23867,0.41582,0.47528
789,1.000000080320,-0.13708,0.32810,0.48167,0.53299,-0.29626,0.23912,0.41627,0.47570
790,1.000000080117,-0.13650,0.32860,0.48211,0.53343,-0.29550,0.23974,0.41681,0.47623
791,1.000000079914,-0.13591,0.32896,0.48239,0.53368,-0.29475,0.24020,0.41716,0.47654
792,1.000000079713,-0.13532,0.32946,0.48288,0.53416,-0.29400,0.24081,0.41775,0.47712
793,1.000000079512,-0.13474,0.32982,0.48315,0.53440,-0.29324,0.24127,0.41810,0.47742
794,1.000000079312,-0.13416,0.33032,0.48359,0.53482,-0.29249,0.24188,0.41863,0.47793
795,1.000000079112,-0.13358,0.33067,0.48396,0.53520,-0.29174,0.24233,0.41908,0.47838
796,1.000000078914,-0.13300,0.33117,0.48439,0.53561,-0.29100,0.24294,0.41961,0.47888
797,1.000000078716,-0.13242,0.33152,0.48467,0.53586,-0.29025,0.24339,0.41995,0.47919
798,1.000000078518,-0.13184,0.33202,0.48515,0.53633,-0.28951,0.24400,0.42053,0.47976
799,1.000000078322,-0.13126,0.33237,0.48543,0.53658,-0.28876,0.24445,0.42088,0.48006
800,1.000000078126,-0.13068,0.33287,0.48586,0.53700,-0.28802,0.24506,0.42140,0.48058
801,1.000000077931,-0.13011,0.33322,0.48622,0.53734,-0.28728,0.24550,0.42185,0.48099
802,1.000000077737,-0.12953,0.33371,0.48665,0.53775,-0.28654,0.24611,0.42237,0.48149
803,1.000000077544,-0.12896,0.33406,0.48692,0.53800,-0.28580,0.24655,0.42271,0.48179
804,1.000000077351,-0.12838,0.33455,0.48740,0.53846,-0.28507,0.24716,0.42329,0.48235
805,1.000000077159,-0.12781,0.33490,0.48767,0.53876,-0.28433,0.24760,0.42363,0.48271
806,1.000000076967,-0.12724,0.33539,0.48810,0.53917,-0.28360,0.24820,0.42415,0.48320
807,1.000000076777,-0.12667,0.33574,0.48846,0.53950,-0.28287,0.24864,0.42459,0.48361
808,1.000000076587,-0.12610,0.33622,0.48889,0.53991,-0.28213,0.24924,0.42510,0.48410
809,1.000000076398,-0.12553,0.33657,0.48916,0.54015,-0.28140,0.24968,0.42544,0.48440
810,1.000000076209,-0.12497,0.33706,0.48963,0.54062,-0.28068,0.25028,0.42601,0.48496
811,1.000000076021,-0.12440,0.33740,0.48990,0.54086,-0.27995,0.25071,0.42635,0.48526
812,1.000000075834,-0.12383,0.33788,0.49032,0.54126,-0.27922,0.25131,0.42686,0.48575
813,1.000000075648,-0.12327,0.33823,0.49067,0.54159,-0.27850,0.25174,0.42729,0.48615
814,1.000000075462,-0.12271,0.33871,0.49110,0.54200,-0.27777,0.25234,0.42780,0.48663
815,1.000000075277,-0.12214,0.33905,0.49136,0.54229,-0.27705,0.25277,0.42814,0.48699
816,1.000000075093,-0.12158,0.33953,0.49183,0.54274,-0.27633,0.25336,0.42870,0.48754
817,1.000000074909,-0.12102,0.33988,0.49210,0.54298,-0.27561,0.25379,0.42903,0.48783
818,1.000000074726,-0.12046,0.34035,0.49251,0.54338,-0.27489,0.25438,0.42954,0.48831
819,1.000000074543,-0.11990,0.34070,0.49287,0.54371,-0.27418,0.25481,0.42997,0.48871
820,1.000000074362,-0.11934,0.34117,0.49328,0.54412,-0.27346,0.25540,0.43047,0.48920
821,1.000000074181,-0.11879,0.34151,0.49355,0.54436,-0.27275,0.25583,0.43081,0.48950
822,1.000000074000,-0.11823,0.34199,0.49401,0.54481,-0.27203,0.25641,0.43136,0.49004
823,1.000000073821,-0.11768,0.34233,0.49427,0.54505,-0.27132,0.25684,0.43169,0.49033
824,1.000000073642,-0.11712,0.34280,0.49469,0.54544,-0.27061,0.25742,0.43219,0.49081
825,1.000000073463,-0.11657,0.34314,0.49503,0.54579,-0.26990,0.25785,0.43262,0.49124
826,1.000000073285,-0.11602,0.34361,0.49545,0.54619,-0.26919,0.25843,0.43311,0.49171
827,1.000000073108,-0.11546,0.34395,0.49571,0.54642,-0.26849,0.25885,0.43344,0.49200
828,1.000000072932,-0.11491,0.34442,0.49616,0.54687,-0.26778,0.25943,0.43399,0.49253
829,1.000000072756,-0.11436,0.34475,0.49643,0.54710,-0.26708,0.25985,0.43432,0.49282
830,1.000000072581,-0.11381,0.34522,0.49683,0.54751,-0.26637,0.26043,0.43481,0.49331
831,1.000000072406,-0.11327,0.34555,0.49718,0.54783,-0.26567,0.26085,0.43523,0.49370
832,1.000000072232,-0.11272,0.34602,0.49759,0.54821,-0.26497,0.26142,0.43573,0.49416
833,1.000000072059,-0.11217,0.34636,0.49785,0.54845,-0.26427,0.26184,0.43605,0.49445
834,1.000000071886,-0.11163,0.34682,0.49830,0.54889,-0.26357,0.26241,0.43659,0.49498
835,1.000000071714,-0.11108,0.34715,0.49856,0.54917,-0.26288,0.26283,0.43692,0.49532
836,1.000000071543,-0.11054,0.34761,0.49896,0.54956,-0.26218,0.26340,0.43740,0.49579
837,1.000000071372,-0.11000,0.34795,0.49930,0.54987,-0.26149,0.26382,0.43782,0.49617
838,1.000000071201,-0.10946,0.34841,0.49970,0.55026,-0.26079,0.26439,0.43831,0.49663
839,1.000000071032,-0.10891,0.34874,0.49996,0.55049,-0.26010,0.26480,0.43863,0.49692
840,1.000000070863,-0.10837,0.34920,0.50041,0.55093,-0.25941,0.26537,0.43916,0.49745
841,1.000000070694,-0.10784,0.34953,0.50067,0.55116,-0.25872,0.26578,0.43948,0.49773
842,1.000000070527,-0.10730,0.34999,0.50107,0.55154,-0.25803,0.26634,0.43997,0.49819
843,1.000000070359,-0.10676,0.35032,0.50140,0.55185,-0.25734,0.26676,0.44038,0.49857
844,1.000000070193,-0.10622,0.35077,0.50180,0.55223,-0.25666,0.26732,0.44086,0.49902
845,1.000000070027,-0.10569,0.35110,0.50206,0.55251,-0.25597,0.26773,0.44118,0.49936
846,1.000000069861,-0.10515,0.35155,0.50250,0.55294,-0.25529,0.26829,0.44171,0.49988
847,1.000000069696,-0.10462,0.35188,0.50275,0.55317,-0.25461,0.26870,0.44203,0.50016
848,1.000000069532,-0.10409,0.35233,0.50315,0.55355,-0.25392,0.26925,0.44250,0.50061
849,1.000000069368,-0.10355,0.35266,0.50348,0.55386,-0.25324,0.26966,0.44291,0.50099
850,1.000000069205,-0.10302,0.35311,0.50387,0.55425,-0.25256,0.27022,0.44339,0.50145
851,1.000000069043,-0.10249,0.35344,0.50413,0.55447,-0.25189,0.27063,0.44370,0.50173
852,1.000000068881,-0.10196,0.35389,0.50456,0.55490,-0.25121,0.27118,0.44422,0.50224
853,1.000000068719,-0.10143,0.35421,0.50482,0.55513,-0.25053,0.27159,0.44454,0.50252
854,1.000000068558,-0.10090,0.35466,0.50521,0.55550,-0.24986,0.27213,0.44501,0.50297
855,1.000000068398,-0.10038,0.35498,0.50554,0.55584,-0.24919,0.27254,0.44541,0.50337
856,1.000000068238,-0.09985,0.35543,0.50593,0.55621,-0.24851,0.27309,0.44588,0.50382
857,1.000000068079,-0.09933,0.35575,0.50618,0.55643,-0.24784,0.27349,0.44620,0.50410
858,1.000000067921,-0.09880,0.35620,0.50661,0.55685,-0.24717,0.27404,0.44671,0.50460
859,1.000000067763,-0.09828,0.35652,0.50686,0.55708,-0.24651,0.27444,0.44703,0.50488
860,1.000000067605,-0.09775,0.35696,0.50725,0.55746,-0.24584,0.27498,0.44749,0.50533
861,1.000000067448,-0.09723,0.35728,0.50757,0.55776,-0.24517,0.27539,0.44789,0.50570
862,1.000000067292,-0.09671,0.35772,0.50796,0.55813,-0.24451,0.27593,0.44836,0.50614
863,1.000000067136,-0.09619,0.35804,0.50821,0.55835,-0.24384,0.27633,0.44867,0.50642
864,1.000000066981,-0.09567,0.35848,0.50864,0.55877,-0.24318,0.27687,0.44918,0.50691
865,1.000000066826,-0.09515,0.35880,0.50888,0.55904,-0.24252,0.27727,0.44948,0.50724
866,1.000000066672,-0.09463,0.35924,0.50927,0.55940,-0.24186,0.27780,0.44995,0.50767
867,1.000000066518,-0.09412,0.35956,0.50959,0.55970,-0.24120,0.27820,0.45034,0.50804
868,1.000000066365,-0.09360,0.35999,0.50997,0.56007,-0.24054,0.27874,0.45080,0.50847
869,1.000000066212,-0.09308,0.36031,0.51022,0.56029,-0.23988,0.27913,0.45111,0.50875
870,1.000000066060,-0.09257,0.36075,0.51064,0.56071,-0.23922,0.27967,0.45161,0.50924
871,1.000000065908,-0.09206,0.36106,0.51089,0.56093,-0.23857,0.28006,0.45192,0.50952
872,1.000000065757,-0.09154,0.36150,0.51127,0.56129,-0.23791,0.28059,0.45237,0.50995
873,1.000000065607,-0.09103,0.36181,0.51159,0.56159,-0.23726,0.28099,0.45276,0.51031
874,1.000000065457,-0.09052,0.36224,0.51196,0.56194,-0.23661,0.28152,0.45322,0.51074
875,1.000000065307,-0.09001,0.36256,0.51221,0.56221,-0.23596,0.28191,0.45352,0.51106
876,1.000000065158,-0.08950,0.36299,0.51263,0.56262,-0.23531,0.28244,0.45402,0.51154
877,1.000000065010,-0.08899,0.36330,0.51287,0.56283,-0.23466,0.28283,0.45432,0.51181
878,1.000000064862,-0.08848,0.36373,0.51324,0.56319,-0.23401,0.28336,0.45478,0.51224
879,1.000000064714,-0.08797,0.36404,0.51356,0.56349,-0.23337,0.28375,0.45516,0.51260
880,1.000000064567,-0.08747,0.36447,0.51393,0.56385,-0.23272,0.28427,0.45561,0.51304
881,1.000000064421,-0.08696,0.36478,0.51418,0.56407,-0.23208,0.28466,0.45591,0.51330
882,1.000000064275,-0.08646,0.36521,0.51459,0.56447,-0.23143,0.28518,0.45641,0.51378
883,1.000000064129,-0.08595,0.36552,0.51483,0.56469,-0.23079,0.28557,0.45671,0.51405
884,1.000000063984,-0.08545,0.36594,0.51520,0.56504,-0.23015,0.28609,0.45715,0.51447
885,1.000000063840,-0.08494,0.36625,0.51552,0.56536,-0.22951,0.28648,0.45753,0.51486
886,1.000000063695,-0.08444,0.36668,0.51589,0.56571,-0.22887,0.28699,0.45798,0.51528
887,1.000000063552,-0.08394,0.36699,0.51613,0.56593,-0.22823,0.28738,0.45828,0.51554
888,1.000000063409,-0.08344,0.36741,0.51654,0.56633,-0.22760,0.28790,0.45876,0.51601
889,1.000000063266,-0.08294,0.36772,0.51678,0.56654,-0.22696,0.28828,0.45906,0.51628
890,1.000000063124,-0.08244,0.36814,0.51714,0.56691,-0.22633,0.28879,0.45950,0.51671
891,1.000000062983,-0.08194,0.36844,0.51745,0.56720,-0.22569,0.28918,0.45988,0.51706
892,1.000000062841,-0.08145,0.36886,0.51782,0.56754,-0.22506,0.28969,0.46032,0.51747
893,1.000000062701,-0.08095,0.36917,0.51806,0.56776,-0.22443,0.29007,0.46062,0.51774
894,1.000000062561,-0.08045,0.36959,0.51846,0.56815,-0.22380,0.29058,0.46110,0.51821
895,1.000000062421,-0.07996,0.36989,0.51870,0.56841,-0.22317,0.29096,0.46139,0.51852
896,1.000000062282,-0.07946,0.37031,0.51906,0.56875,-0.22254,0.29147,0.46183,0.51893
897,1.000000062143,-0.07897,0.37061,0.51937,0.56904,-0.22191,0.29185,0.46220,0.51927
898,1.000000062005,-0.07848,0.37103,0.51973,0.56938,-0.22129,0.29236,0.46264,0.51968
899,1.000000061867,-0.07798,0.37133,0.51997,0.56959,-0.22066,0.29274,0.46293,0.51995
900,1.000000061729,-0.07749,0.37174,0.52037,0.56999,-0.22004,0.29324,0.46341,0.52042
901,1.000000061592,-0.07700,0.37205,0.52061,0.57020,-0.21941,0.29362,0.46370,0.52068
902,1.000000061456,-0.07651,0.37246,0.52097,0.57054,-0.21879,0.29412,0.46413,0.52108
903,1.000000061320,-0.07602,0.37276,0.52127,0.57083,-0.21817,0.29450,0.46450,0.52143
904,1.000000061184,-0.07554,0.37317,0.52163,0.57117,-0.21755,0.29500,0.46493,0.52183
905,1.000000061049,-0.07505,0.37347,0.52186,0.57142,-0.21693,0.29538,0.46522,0.52214
906,1.000000060914,-0.07456,0.37388,0.52226,0.57180,-0.21631,0.29588,0.46570,0.52259
907,1.000000060780,-0.07407,0.37418,0.52249,0.57202,-0.21569,0.29625,0.46598,0.52285
908,1.000000060646,-0.07359,0.37459,0.52285,0.57235,-0.21508,0.29675,0.46641,0.52326
909,1.000000060513,-0.07310,0.37489,0.52315,0.57263,-0.21446,0.29712,0.46678,0.52359
910,1.000000060380,-0.07262,0.37529,0.52350,0.57298,-0.21385,0.29762,0.46720,0.52401
911,1.000000060248,-0.07214,0.37559,0.52374,0.57319,-0.21323,0.29799,0.46749,0.52427
912,1.000000060115,-0.07165,0.37600,0.52413,0.57357,-0.21262,0.29848,0.46796,0.52472
913,1.000000059984,-0.07117,0.37629,0.52436,0.57378,-0.21201,0.29885,0.46824,0.52497
914,1.000000059853,-0.07069,0.37670,0.52471,0.57412,-0.21140,0.29935,0.46867,0.52537
915,1.000000059722,-0.07021,0.37700,0.52501,0.57442,-0.21079,0.29972,0.46903,0.52574
916,1.000000059592,-0.06973,0.37740,0.52536,0.57475,-0.21018,0.30021,0.46945,0.52613
917,1.000000059462,-0.06925,0.37769,0.52559,0.57496,-0.20957,0.30057,0.46974,0.52639
918,1.000000059332,-0.06877,0.37809,0.52598,0.57534,-0.20897,0.30106,0.47020,0.52683
919,1.000000059203,-0.06830,0.37839,0.52621,0.57554,-0.20836,0.30143,0.47048,0.52709
920,1.000000059075,-0.06782,0.37879,0.52656,0.57589,-0.20776,0.30192,0.47090,0.52750
921,1.000000058946,-0.06734,0.37908,0.52686,0.57616,-0.20715,0.30228,0.47126,0.52783
922,1.000000058818,-0.06687,0.37948,0.52720,0.57649,-0.20655,0.30277,0.47168,0.52822
923,1.000000058691,-0.06639,0.37978,0.52743,0.57670,-0.20595,0.30313,0.47196,0.52847
924,1.000000058564,-0.06592,0.38017,0.52781,0.57707,-0.20535,0.30362,0.47241,0.52891
925,1.000000058438,-0.06545,0.38046,0.52804,0.57732,-0.20475,0.30398,0.47270,0.52921
926,1.000000058311,-0.06497,0.38086,0.52839,0.57764,-0.20415,0.30446,0.47311,0.52960
927,1.000000058186,-0.06450,0.38115,0.52868,0.57792,-0.20355,0.30483,0.47346,0.52993
928,1.000000058060,-0.06403,0.38155,0.52903,0.57824,-0.20296,0.30531,0.47388,0.53032
929,1.000000057935,-0.06356,0.38184,0.52925,0.57845,-0.20236,0.30567,0.47416,0.53057
930,1.000000057811,-0.06309,0.38223,0.52963,0.57882,-0.20177,0.30615,0.47461,0.53101
931,1.000000057687,-0.06262,0.38252,0.52986,0.57903,-0.20117,0.30651,0.47489,0.53126
