N, e1, e2, e3_ab, e3_abc, e_total_ab, e_total_abc
3, 0.00851404491208487233363964420215, 0.0111313270541886987428843245601, 0.912058161961742560218535538726, 0.458808062493978107486103893156, 0.931703533928016131295059507488, 0.478453434460251678562627861918
4, 0.00474521409206754531439085920856, 0.00670396439505118818195647352451, 0.578430069334056752485881798057, 0.245691694458081089098132193217, 0.58987924782117548598222913079, 0.25714087294519982259447952595
5, 0.00298205480569884302962231412454, 0.00449031413647707259746317281992, 0.413142799106273010496496521053, 0.151848108685140916501323491185, 0.420615168048448926123582007997, 0.159320477627316832128408978129
6, 0.00202192552527257720863384787938, 0.0032171374553887091016761454521, 0.316187253436494394718843302695, 0.102413154298398965463191441945, 0.321426316417155681029153296027, 0.107652217279060251773501435276
7, 0.00144610066592495249621687586181, 0.00241673833826283512770422158449, 0.253154612411100577146860395871, 0.0732912498467263839929691748939, 0.257017451415288364770781493317, 0.0771540888509141716168902723402
8, 0.00107642366101763112800692433656, 0.00188092920457472742098600997257, 0.209230430913684214455416956234, 0.0547594572812976400930229937506, 0.212187783779276573004409890543, 0.0577168101468899986420159280597
9, 0.000826641070181050134821904325783, 0.00150489580616160553360800795993, 0.177052336691050890626832963595, 0.0422783481121224783980772097115, 0.179383873567393546295262875881, 0.0446098849884651340665071219972
10, 0.00065097063529849574897027029209, 0.00123104059704953279333556311066, 0.152572921755841577493601200484, 0.0334978504872893321375470157832, 0.154454932988189606035907033887, 0.0353798617196373606798528491859
11, 0.000523360100686480739953766789066, 0.00102554492547719194985609904779, 0.133393473431634547948747361882, 0.0271032488848889582574725927043, 0.134942378457798220638557227719, 0.0286521539110526309472824585411
12, 0.000428148204086036430681377737086, 0.000867486750495002074944197747901, 0.118007115196518189645002242837, 0.0223131461105077103273598508705, 0.119302750151099228150627818322, 0.0236087810650887488329854263555
13, 0.000355491020283406065236871939463, 0.000743360912552610850033710749971, 0.105422161471429567369139147667, 0.0186399521698102476728417759952, 0.106521013404265584284409730356, 0.0197388041026462645881123586846
14, 0.000298967632458051235571711370676, 0.000644136455205494988220100454311, 0.0949607015887114096146718160204, 0.0157669749585503713730740670683, 0.0959038056763749558384636278454, 0.0167100790462139175968658788933
15, 0.000254256537185228011181371482037, 0.00056359109970391170961677418554, 0.086144426584472383572937192036, 0.0134814959740646944730008813039, 0.0869622742213615232937353377036, 0.0142993436109538341937990269714
16, 0.000218369917607806381436437226435, 0.000497326275707824998290871176999, 0.07862671243816082542460353955, 0.0116364916890065267177043155899, 0.0793424086314764568043308479534, 0.0123521878823221580974316239933
17, 0.000189193206967944654761811420573, 0.000442162482647830953592611208558, 0.0721505455698273485141267367488, 0.0101278099186084813805696668613, 0.072781901259443124122481159378, 0.0107591656082242569889240894904
18, 0.000165198854344562527033283063575, 0.000395755993153790496413903459986, 0.0665215384719030980376294111451, 0.0088800677269428401649503175121, 0.0670824933194014510610765976687, 0.00944102257444119318839750403566
19, 0.000145263145423199840458747879329, 0.000356348960251915013586412223563, 0.0615900973314616948633198781969, 0.00783766481888076331078162053008, 0.0620917094371368097173650382998, 0.00833927692455587816482678063297
20, 0.00012854594091230031226818643964, 0.000322602423832318400132361852695, 0.0572393256440953750125059243679, 0.00695889976534862631061202867835, 0.0576904740088399937249064726602, 0.00741004813009324502301257697068
21, 0.000114409910228155243878566740776, 0.00029348224023409278719466056107, 0.0533766277783540826505415720331, 0.00621202455900744823688253006863, 0.053784519928816330681614799335, 0.00661991670946969626795575737047
22, 0.000102365177784363264515103300054, 0.000268179618268579032684016699087, 0.049927760566841644211007467173, 0.00557254204674026142321799050677, 0.0502983053628945865082065871721, 0.00594308684279320372041711050591
23, 0.0000920306865215196082914555101456, 0.000246054775894246820640647056545, 0.0468325416253046914977440396041, 0.00502131907090361912391299959207, 0.0471706270877204579266761421708, 0.00535940453331938555284510215876
24, 0.0000831067801450051665671974437012, 0.000226596345992247673244500865033, 0.0440417018011608355704672629118, 0.00454324626913010671202363176305, 0.0443514049272980884102789612206, 0.00485294939526735955183533007179
25, 0.0000753554514386620562095916441013, 0.000209391700007735334485617228909, 0.0415145422876581406673843552302, 0.00412627120276743608494809701409, 0.0417992894391045380580795641032, 0.0044110183542138334756433058871
26, 0.0000685859160267356532719845594959, 0.000194104962324286159071127672211, 0.0392171670768604517502420552218, 0.00376069084628697140454322620462, 0.0394798579552114735625851674535, 0.00402338172463799321688633843633
27, 0.0000626439417801228986907911521424, 0.00018046052202195910176634150534, 0.0371211330054414601295322948876, 0.00343862709794272932978047197533, 0.0373642374692435421299894275451, 0.00368173156174481133023760463281
28, 0.0000574038637303483336706199176331, 0.000168230527417163996265621791451, 0.035202407084882659534475131216, 0.00315363330249386368920188241124, 0.035428041476030171864411372925, 0.00337926769364137601913812412033
29, 0.0000527625439587891425885913373182, 0.000157225302093598186587941481276, 0.0334405528094051074002914893115, 0.00290039579790583829225527694825, 0.0336505406554574947294680221301, 0.00311038364395822562143180976684
30, 0.0000486347568742423498928713314397, 0.000147285928675165433658442528376, 0.0318180890783209633039236448938, 0.00267450522510303032029620190469, 0.0320140097638703710874749587536, 0.00287042591065243810384751576451
31, 0.0000449496306150649420720867765262, 0.000138278458286933147753768343163, 0.0303199806431800464949485728313, 0.00247227963371498951125841112663, 0.030503208732082044584774427951, 0.00265550772261698760108426624632
32, 0.0000416478790031563902018874107319, 0.00013008935134172161991683780304, 0.028933229769488469917489668394, 0.00229062644721807479937368688709, 0.0291049669998333479276083936078, 0.00246236367756295280949241210086
33, 0.0000386796309222957275689174850383, 0.000122621859624078115005712248368, 0.0276465465084327118414601539216, 0.0021269338663557069663154814589, 0.027807847998979085684034783655, 0.0022882353569020808088901111923
34, 0.0000360027152150720667810927786148, 0.000115793134211805334409469391081, 0.0264500805483543159514114983747, 0.00197898477679308917400999728431, 0.0266018763977811933526020605444, 0.002130780626219966575200559454
35, 0.0000335812958140282438957296207794, 0.000109531897652925701319922082343, 0.0253352016931192555560602113577, 0.00184488800671138757372429195119, 0.0254783148865862095012758630608, 0.00198800120017834151893994365431
36, 0.0000313847782798951163971822946089, 0.000103776558142858248252353982659, 0.024294319027981810410432684278, 0.00172302306732241541369567038773, 0.0244294803644045637750822205552, 0.001858184403745168778345206665
37, 0.0000293869282219937054003938481452, 0.0000984736724283616195029353819584, 0.0233207310823210591118139311996, 0.00161199544973144450114898229398, 0.0234485916829714144367172604297, 0.00173985605038179982605231152408
38, 0.0000275651562883052733907014549746, 0.0000935766857158406194639205607291, 0.0224085009920542885872135270647, 0.00151060024512977887916871719148, 0.0225296428340584344800681490804, 0.00163174208713392477202333920719
39, 0.0000258999349686879056941165202169, 0.0000890448930235872357092314850953, 0.0215523519506628750027733536447, 0.00141779237132074261404720022688, 0.02166729677865515014417670165, 0.00153273719931301775545054823219
40, 0.0000243743203594528085192886789106, 0.0000848425786354457096370030318065, 0.0207475792224261631968802480924, 0.00133266207573083841418152229345, 0.0208567961214210617150365398031, 0.00144187897472573693233781400417
41, 0.0000229735580029378702401122295496, 0.0000809382996199226003683067537372, 0.0199899757510335799432076207037, 0.00125441467781320631232782057788, 0.020093887608656440413816039687, 0.00135832653543606678293623956117
42, 0.000021684756450775700818296830343, 0.000077304286518667873386093661013, 0.0192757689868861512350002645545, 0.00118235373678187413141528194264, 0.0193747580298555948092046550459, 0.001281342779751317705619672434
43, 0.0000204966156713043262490065788088, 0.0000739159398233199153225577514085, 0.0186015670180079546801694609211, 0.00111586700173091549564346998191, 0.0186959795735025789217410252513, 0.00121027955722553973721503431213
44, 0.0000193992000969566743170754977802, 0.0000707514051473130411920008524379, 0.0179643124528779798328837146421, 0.0010544146333583070975380682332, 0.0180544630581222495483927909924, 0.00114456523860257681304714458341
45, 0.000018383748182175889114922300023, 0.0000677912133531260757024187492167, 0.0173612427913044682007904571242, 0.00099751928924670262786001651003, 0.0174474177528397701656077981735, 0.00108369425078200459267735755927
46, 0.0000174425119609721663427536339299, 0.0000650179745343428492869023153325, 0.0167898562487348002091741875271, 0.000944757744991440539262027849005, 0.0168723167352301152248038434764, 0.00102721823148675555489168379827
47, 0.0000165686213631868519496147343949, 0.0000624161168398403069151666016677, 0.0162478821830365603042996353184, 0.00089575378665426631508882047001, 0.0163268669212395874631644166544, 0.000974738524857293473953601806073
48, 0.0000157559690504003127123218442398, 0.0000599716627882665283262150816617, 0.0157332554206511882872434185163, 0.000850172159994072817122893960423, 0.0158089830524898551282819554422, 0.000925899791832739658161430886325
49, 0.0000149991123269338972744354058223, 0.0000576720370488253241607218094033, 0.0152440938986754732715389907654, 0.000807713401654976683890510967878, 0.0153167650480512324929741479806, 0.000880384551030735905325668183104
50, 0.0000142931893146210792253760666778, 0.0000555059007311910081813878876894, 0.0147786791367125447613171973937, 0.000768109409235672817853303161921, 0.0148484782267583568487239613481, 0.000837908499281484905260067116288
51, 0.000013633847087117905968602982765, 0.0000534630080884616344534770006348, 0.0143354391317947084198188036545, 0.000731119632649071516417908418294, 0.0144025359869702879602408836379, 0.000798216487824651056839988401694
52, 0.0000130171798674756583741954294689, 0.0000515340822352051952354269649976, 0.013912933334864568873192565473, 0.000696527789735731672098074619255, 0.0139774845969672497268021878674, 0.000761079051838412525707697013721
53, 0.0000124396757223378463283647860014, 0.0000497107070511243572461379493354, 0.013509839420996612739230960193, 0.000664139025745513641098462823162, 0.0135719898037700749428054629283, 0.000726289408518975844672965558499
54, 0.0000118981704536093246545709865443, 0.0000479852329056561979420033307112, 0.0131249416099504749718418666636, 0.000633777449847551222065831925683, 0.0131848250133097404944384409808, 0.000693660853206816744662406242938
55, 0.0000113898076063785418239805984165, 0.0000463506942203494431015671905037, 0.0127571203305165217881230734876, 0.000605283992892898674823011958171, 0.0128148608323432497730486212765, 0.000663024494719626659748559747091
56, 0.0000109120036901284417440253632174, 0.0000448007372002325724600736709273, 0.0124053430528369502100528329096, 0.000578514539726855050529565191807, 0.0124610557937273112242569319437, 0.000634227280617216064733664225951
57, 0.0000104624178566200537042293752845, 0.0000433295563253720716783671400708, 0.0120686561385767172742118024185, 0.00055333829681539924258460784066, 0.0121224481127587093995943989339, 0.000607130270997391367967204356016
58, 0.0000100389253984216056559535775111, 0.0000419318384095886383332328251934, 0.0117461775803753765864588427896, 0.000529636362118575065850229387107, 0.0117981483441833868304480291923, 0.000581607125926585309839415789812
59, 0.00000963959453176626267598568144922, 0.0000406027132129799594151615683039, 0.0114370905201578618507155675204, 0.000507300469256732937963157055876, 0.0114873328279026080728067147702, 0.000557542777001479160054304305629
60, 0.00000926266601014595966333575218958, 0.0000393377097450185242646301986222, 0.0111406374512069401179941645869, 0.000486231882268016238402275049186, 0.0111892378269621046019221305377, 0.000534832258023180722330240999998
61, 0.00000890653518390402827638910795926, 0.0000381327175208123398170518236424, 0.0108561150218807152497158250057, 0.00046634042080364834170124014212, 0.0109031542745854316178092659373, 0.000513379673508364709794681073721
62, 0.00000856973617858062651758048982617, 0.0000369839521388914219498793251399, 0.0105828693698859479295466896187, 0.000447543598577312418364002698702, 0.0106284230582034199780141494337, 0.000493097286894784466831462513668
63, 0.00000825092791291356259298951108796, 0.0000358879246380695501448640640765, 0.0103202919254124795003504606645, 0.000429765860378001719587098375985, 0.0103644307779634626130883142396, 0.00047390471292898483232495195115
64, 0.00000794888171783955645514173195608, 0.0000348414141663452838416805575647, 0.010067815629459336745639563661, 0.000412937905054745963779317038926, 0.0101106059253435215859363859505, 0.000455728200938930804076139328447
65, 0.00000766247035190711165141812306223, 0.000033841443558751498911449805323, 0.00982491152055679829482335905331, 0.000396996083653845610911813262264, 0.00986641543446745690538622698169, 0.000438499997564504221474681190649
66, 0.0000073906582372861639801016935449, 0.0000328852574754279655302135392249, 0.00959108564899107864410336370378, 0.000381881863389622407961822122046, 0.00963136156470379277361367893655, 0.000422157779102336537472137354815
67, 0.00000713249276492835922093533956573, 0.0000319703027975316623645343970562, 0.00936587628271909199763150727184, 0.000367541349403267544364811070253, 0.00940497907828155201921697700846, 0.000406644144965727565950280806875
68, 0.00000688709653812288352030776058548, 0.0000310942110181983104155542852948, 0.00914885137354479110184120165255, 0.000353924857348180343496572383188, 0.00918683268110111229577706369843, 0.000391906164904501537432434429068
69, 0.00000665366044130517652587113999552, 0.0000302547823996890025972284073887, 0.00893960625592013321704638002373, 0.000340986530764794602147826118513, 0.00897651469876112739616947957111, 0.000377894973605788781270925665897
70, 0.00000643143743600405030559599602969, 0.0000294499716969805910411509010859, 0.00873776155402021837958486801355, 0.000328683997998563392913010967569, 0.00877364296315320302093161491067, 0.000364565407131548034259757864685
71, 0.00000621973699866607996465668431071, 0.0000286778752731228814288944964587, 0.00854296127559703518630393028576, 0.000316978064092487778051904448061, 0.00857785888786882414769748146653, 0.000351875676364276739445455628831
72, 0.00000601792012611449263359828995098, 0.0000279367194533036505073874132813, 0.0083548710736014369145927715845, 0.000305832433667778248862945787656, 0.00838882571318085505773375728774, 0.000339787073247196392003931490888
73, 0.00000582539484386609807668111616139, 0.0000272248499832481518081897920886, 0.00817317665873074921502480246965, 0.000295213461307485302439841675775, 0.0082062269035578634649096733779, 0.000328263706134599552324712584025
74, 0.00000564161216068024295357511404554, 0.0000265407224737646913869210869492, 0.00799758234795406744295605038665, 0.000285089926390401940353832675895, 0.00802976468258851237729654658764, 0.00031727226102484687469432887689
