N, e1, e2, e3_ab, e3_abc, e_total_ab, e_total_abc
3, 0.00944550626904359703712824184309, 0.0121200372106575413091333937364, 0.913033871152045554123128268609, 0.459342283826170175190965429959, 0.934599414631746692469389904188, 0.480907827305871313537227065538
4, 0.00560471320547903510123563446233, 0.00766509311617594940830926565057, 0.578765914488380338375675154517, 0.245845381160856723854354559185, 0.592035720810035322885220054629, 0.259115187482511708363899459298
5, 0.00373233913011007072406071018594, 0.00536194548920473376259116007893, 0.413293512581377188646343691821, 0.151907307239330704497595067996, 0.422387797200691993132995562086, 0.161001591858645508984246938261
6, 0.00266758299192996677640783260209, 0.00399046336523791378038318039004, 0.316266481974415585856874360818, 0.102440399484860944850829405436, 0.32292452833158346641366537381, 0.109098445842028825407620418428
7, 0.00200123802848772354510125860181, 0.00309892907985825966126524251373, 0.253200888879541915743233352478, 0.0733053967919408221282354673739, 0.258301055987887898949599853593, 0.0784055639002868053346019684894
8, 0.00155566595126521026235009086585, 0.00248313102771121168160885462095, 0.209259572354764170635124587508, 0.054767474073739823728535206849, 0.213298369333740592579083532995, 0.0588062710527162456724941523358
9, 0.0012427810253821987649527474435, 0.00203826751838743703878735131863, 0.177071753353325789685304715449, 0.0422832028220365211533556108797, 0.180352801897095425489044814211, 0.0455642513658061569570957096418
10, 0.00101460951418617646507387088563, 0.00170553978519776288380189455744, 0.152586439876934621578910375407, 0.033500947781084138933003074377, 0.15530658917631856092778614085, 0.03622109708046807828187883982
11, 0.000843121850340978882438698662566, 0.00144968311661953076979044167676, 0.133403221853407187219514203297, 0.0271053099579698859694383195119, 0.135696026820367696871743343637, 0.0293981149249303956216674598512
12, 0.000711017201808478318502102267621, 0.00124841619177702244889403735086, 0.118014350625948393969926377814, 0.0223145661207257780495948523035, 0.119973784019533894737322517432, 0.024273999514311278816990991922
13, 0.000607134184489296901723443476045, 0.00108705743142385945401244357681, 0.105427662367090081177479729537, 0.0186409594550430665379343086151, 0.107121853983003237533215616589, 0.020335151070956222893670195668
14, 0.000524004839830007132296831090734, 0.00095559196622538321552594515569, 0.0949649698099670157741456398338, 0.0157677074411609364231849931408, 0.0964445666160224061219684160802, 0.0172473042472163267710077693873
15, 0.000456477032910627173346330969709, 0.000846986467802933830457202136444, 0.0861477967530560299169887634117, 0.0134820401500614962309251080828, 0.0874512602537695909207922965179, 0.0147855036507750572347286411889
