N,bound,boundtype
69285,0.043482357,lemma_euler5
69286,0.043486979,lemma_euler5
69287,0.043488816,lemma_euler5
69288,0.043494381,lemma_euler5
69289,0.043496218,lemma_euler5
69290,0.043501113,lemma_euler5
69291,0.043504531,lemma_euler5
69292,0.043509153,lemma_euler5
69293,0.043510989,lemma_euler5
69294,0.043516554,lemma_euler5
69295,0.043519307,lemma_euler5
69296,0.043523929,lemma_euler5
69297,0.043527347,lemma_euler5
69298,0.043531967,lemma_euler5
69299,0.043533804,lemma_euler5
69300,0.043539494,lemma_euler5
69301,0.04354133,lemma_euler5
69302,0.043545951,lemma_euler5
69303,0.043549368,lemma_euler5
69304,0.043553989,lemma_euler5
69305,0.043556742,lemma_euler5
69306,0.043562305,lemma_euler5
69307,0.043564142,lemma_euler5
69308,0.043568762,lemma_euler5
69309,0.043572179,lemma_euler5
69310,0.043577072,lemma_euler5
69311,0.043578908,lemma_euler5
69312,0.043584471,lemma_euler5
69313,0.043586307,lemma_euler5
69314,0.043590927,lemma_euler5
69315,0.043594928,lemma_euler5
69316,0.043599547,lemma_euler5
69317,0.043601383,lemma_euler5
69318,0.043606945,lemma_euler5
69319,0.043608781,lemma_euler5
69320,0.043613673,lemma_euler5
69321,0.043617089,lemma_euler5
69322,0.043621708,lemma_euler5
69323,0.043623545,lemma_euler5
69324,0.043629106,lemma_euler5
69325,0.043631857,lemma_euler5
69326,0.043636476,lemma_euler5
69327,0.043639892,lemma_euler5
69328,0.043644511,lemma_euler5
69329,0.043646347,lemma_euler5
69330,0.043652033,lemma_euler5
69331,0.043653868,lemma_euler5
69332,0.043658486,lemma_euler5
69333,0.043661902,lemma_euler5
69334,0.04366652,lemma_euler5
69335,0.043669272,lemma_euler5
69336,0.043674831,lemma_euler5
69337,0.043676667,lemma_euler5
69338,0.043681285,lemma_euler5
69339,0.0436847,lemma_euler5
69340,0.04368959,lemma_euler5
69341,0.043691426,lemma_euler5
69342,0.043696984,lemma_euler5
69343,0.04369882,lemma_euler5
69344,0.043703437,lemma_euler5
69345,0.043707435,lemma_euler5
69346,0.043712052,lemma_euler5
69347,0.043713888,lemma_euler5
69348,0.043719446,lemma_euler5
69349,0.043721282,lemma_euler5
69350,0.043726171,lemma_euler5
69351,0.043729586,lemma_euler5
69352,0.043734202,lemma_euler5
69353,0.043736037,lemma_euler5
69354,0.043741594,lemma_euler5
